,No.,Kode,Company,Sector,Currency,Listing,Share,Price,Aset,Liabilities,Equity,Revenue,Gross Profit,Net Profit,Cash of the Beginning Period,Cash From Operating,Cash From Investing,Cash From Financing,Dividen Per Share,Market Cap,NPM,EPS,DY,ROA,ROE,Book Value,PBV,PER,DER
23,24,INCO,Vale Indonesia Tbk,Basic Materials,IDR,1990,9936338720,6300,42165028362000,5191584372000,36973443990000,9891753637000,3309550225000,2529593676000,9517604462000.0,3915574317000.0,-1755101131000.0,-905583608000.0,89.67,62598933936000,0.25572752505057156,254.58005682801442,0.014233333333333334,0.059992694758382335,0.0684165012240722,3721.0329711867953,1.6930782524054504,24.746636003212398,0.14041387038232464
24,25,INDF,Indofood Sukses Makmur Tbk,Consumer Non-Cyclicals,IDR,1994,8780426500,7350,188505439000000,91336232000000,97169207000000,56086595000000,17305939000000,5566261000000,25945916000000.0,5478974000000.0,-3961345000000.0,1919336000000.0,257.0,64536134775000,0.09924405287930209,633.9397066873688,0.03496598639455782,0.029528384058987285,0.05728420733123818,11066.57028562337,0.6641624107830786,11.594162540168346,0.9399709519086639
25,26,INDY,Indika Energy Tbk,Energy,IDR,2008,5210192000,1910,46020687799834,25785854938778,20234832861056,25141779948868,5258140244302,1349448997600,17363131027484.0,-4521572455950.0,-1027390398628.0,-1686218411196.0,322.46,9951466720000,0.053673566483536043,259.00177912829315,0.16882722513089005,0.029322660353739163,0.06668940667146069,3883.701955907959,0.49179880992012603,7.374466717674192,1.2743300187275333
26,27,INKP,Indah Kiat Pulp & Paper Tbk,Basic Materials,IDR,1990,5470982941,8500,145559912278000,57567806538000000,87992105740000,29014890454000,10303087784000,4034916754000,19014411284000.0,3607937938000.0,-991535688000.0,-3226052148000.0,50.0,46503354998500,0.13906365631112508,737.5122162714124,0.0058823529411764705,0.02771997242134804,0.045855440326913126,16083.41804186225,0.5284946258236916,11.525232819834281,654.2383098331794
27,28,INTP,Indocement Tunggal Prakarsa Tbk,Basic Materials,IDR,1989,3681231699,9925,24906388000000,5190022000000,19716366000000,7970017000000,2431991000000,698432000000,4525505000000.0,-48553000000.0,-218031000000.0,-760553000000.0,160.0,36536224612575,0.08763243541387679,189.72780229772764,0.016120906801007556,0.02804228377073384,0.0354239721457798,5355.915522882169,1.8530912143026255,52.31178498776545,0.26323420857575885
28,29,ITMG,Indo Tambangraya Megah Tbk,Energy,IDR,2007,1129925000,24125,33463938794000,6475018946000000,26988919848000,19521613914000,6885604396000,4612200648000,21492093502000.0,2296573840000.0,-1403518556000.0,-7177799992000.0,10544.0,27259440625000,0.23626123681773784,4081.8644140097795,0.43705699481865284,0.13782599461444617,0.1708923763520601,23885.585191937516,1.0100234014004101,5.910289405301692,239.9139714544681
29,30,KLBF,Kalbe Farma Tbk,Healthcare,IDR,1991,46875122110,2050,27419566533634,5642937693481,21776628840153,15178929358642,6175598764470,1528997185878,3949768854987.0,535609009976.0,-495781404881.0,-1162454585044.0,38.0,96094000325500,0.1007315568675124,32.61852166038016,0.018536585365853658,0.055762996253148914,0.0702127586919582,464.56687172036897,4.412712409751704,62.847728702862,0.2591281568373993
30,31,MAPI,Mitra Adiperkasa Tbk,Consumer Cyclicals,IDR,2004,16600000000,1690,22347330000000,11464066000000,10883264000000,15594638000000,7072779000000,1044016000000,3850844000000.0,842527000000.0,-680767000000.0,-1007600000000.0,8.0,28054000000000,0.06694711348862346,62.89253012048193,0.004733727810650888,0.046717706321068336,0.09592857436886582,655.618313253012,2.5777193312594457,26.871235689874485,1.0533665268066639
31,32,MDKA,PT Merdeka Copper Gold Tbk.,Basic Materials,IDR,2015,24110850771,3060,69095085712092,30564218218644,38530867493448,7814034595422,693266026838,-739493726202,6670178196704.0,-352452200056.0,-7083553689410.0,8125692347454.0,0.0,73779203359260,-0.09463660765403399,-30.670577874898,0.0,-0.010702551687732905,-0.01919224181308006,1598.0716673752581,1.9148077413986546,-99.76988410461036,0.7932398154243817
32,33,MEDC,PT Medco Energi Internasional Tbk,Energy,IDR,1994,25136231252,890,100126413676652,72002411321698,28124002354954,16772113369484,7062718111900,1795055981554,9015578873444.0,2690560774022.0,513056609340.0,-5299963312182.0,38.58,22371245814280,0.10702622513988083,71.41309146776622,0.04334831460674157,0.01792789650242492,0.0638264767190152,1118.8631292018479,0.7954502894691778,12.462700909702528,2.5601765500142224
33,34,PGAS,PT Perusahaan Gas Negara Tbk.,Energy,IDR,2003,24241508196,1305,104020001040000,53663420700000,50356580340000,26749520475000,5521700460000,2179849860000,21714762255000.0,5258345295000.0,-44800125000.0,-7987529310000.0,141.05,31635168195780,0.0814911752170391,89.92220460770213,0.10808429118773948,0.020956064585711334,0.04328828219235667,2077.287433308673,0.6282231236153079,14.512544545512872,1.0656684853830962
34,35,PTBA,Bukit Asam Tbk,Energy,IDR,2002,11520659250,2680,46287550000000,27821245000000,18466305000000,18858578000000,4098840000000,2775566000000,7030343000000.0,1856917000000.0,7430039000000.0,-446205000000.0,1094.05,30875366790000,0.1471779049300536,240.92076154409307,0.4082276119402985,0.05996355391460555,0.15030435162854724,1602.8861369196386,1.671984015751933,11.123989409727601,1.5065951201390857
35,36,SCMA,Surya Citra Media Tbk,Consumer Cyclicals,IDR,2002,73970569505,162,10555453649000,2291863395000,8263590254000,3032392988000,1015170118000,69364321000,2330537676000.0,271058698000.0,-218870440000.0,-296728889000.0,6.5,11983232259810,0.022874449741340716,0.9377286326734494,0.040123456790123455,0.0065714201688121116,0.008393969070093247,111.71456850067143,1.4501242064863398,172.75786870039425,0.2773447526504138
36,37,SIDO,PT Industri Jamu Dan Farmasi Sido Muncul Tbk,Healthcare,IDR,2013,30000000000,730,3566545000000,300390000000,3266155000000,1653794000000,877544000000,448107000000,923047000000.0,254485000000.0,-30797000000.0,-693882000000.0,36.5,21900000000000,0.27095696320097906,14.9369,0.05,0.12564176254610554,0.1371971017909438,108.87183333333333,6.705131875247807,48.87225595672462,0.09197052803678944
37,38,SMGR,Semen Indonesia (Persero) Tbk,Basic Materials,IDR,1991,6751797728,6075,79444078000000,33154070000000,46290008000000,17031759000000,4415855000000,866235000000,6007333000000.0,1594653000000.0,-618390000000.0,-2491796000000.0,245.19,41017171197600,0.05085998457352526,128.29694177710414,0.04036049382716049,0.01090370763696194,0.01871321776397187,6855.9530164882335,0.8860912531620214,47.351089713068625,0.7162251948627877
38,39,SRTG,PT Saratoga Investama Sedaya Tbk.,Financials,IDR,2013,13564835000,1670,48603561000000,2015657000000,46587904000000,-13358842000000,-13358842000000,-12215680000000,862852000000.0,1171423000000.0,-743000000.0,-1586643000000.0,75.0,22653274450000,0.9144265648175194,-900.5402572165456,0.04491017964071856,-0.2513330247551203,-0.2622071171091964,3434.4615323371054,0.48624798509930817,-1.8544423601469586,0.04326567256599481
39,40,TBIG,PT Tower Bersama Infrastructure Tbk,Infrastructures,IDR,2010,22656999445,2010,43617467000000,32314883000000,11302584000000,3279861000000,2506600000000,688796000000,966386000000.0,2206070000000.0,-1341502000000.0,-905621000000.0,35.35,45540568884450,0.2100076802035208,30.401024710798815,0.017587064676616915,0.015791746916436023,0.06094146258943973,498.8561714642351,4.0292174678330195,66.11619243498801,2.8590703683334713
40,41,TLKM,PT Telkom Indonesia (Persero) Tbk,Infrastructures,IDR,1995,99062216600,4000,290478000000000,150127000000000,140351000000000,73478000000000,73478000000000,12756000000000,31947000000000.0,25620000000000.0,-17669000000000.0,798000000000.0,167.6,396248866400000,0.17360298320585754,128.76756080985976,0.0419,0.0439138247991242,0.09088642047438208,1416.7964822220624,2.823270702738135,31.06372423957354,1.0696539390528033
41,42,TOWR,Sarana Menara Nusantara Tbk,Infrastructures,IDR,2010,51014625000,1055,66385698000000,51239094000000,15146604000000,5776278000000,4148277000000,1559122000000,308636000000.0,5096666000000.0,-1904722000000.0,-3020370000000.0,24.1,53820429375000,0.26991810297219077,30.562255431653178,0.0228436018957346,0.023485811657806173,0.1029354170743488,296.907092818971,3.5533000912283703,34.519703637688394,3.382876716127259
42,43,TPIA,PT Chandra Asri Petrochemical Tbk,Basic Materials,IDR,2008,86511545092,2100,75331603842000,32582453530000,42749150312000,16142236462000,711300788000,-8805236000,21096098298000.0,-5204044736000.0,-6959832836000.0,2668241950000.0,0.0,181674244693200,-0.0005454780705714581,-0.1017810511953768,0.0,-0.00011688634717598796,-0.00020597452664523032,494.1438771731422,4.24977440176636,-20632.52418143023,0.7621778045224413
43,44,UNTR,United Tractors Tbk,Industrials,IDR,1989,3730135136,23275,134463146000000,58641919000000,75821227000000,68676905000000,18691799000000,11216279000000,38281513000000.0,20171406000000.0,-9659779000000.0,-22428000000000.0,7003.0,86818895290400,0.16331951767482825,3006.936368538043,0.3008807733619764,0.08341526532481994,0.14793059204911047,20326.670277502784,1.1450473531693175,7.740436493279099,0.7734235031569722
44,45,UNVR,Unilever Indonesia Tbk,Consumer Non-Cyclicals,IDR,1982,38150000000,4260,19951762000000,16015735000000,3936027000000,20291982000000,10117225000000,2759275000000,502882000000.0,3573477000000.0,-452138000000.0,-634384000000.0,140.0,162519000000000,0.1359785850391549,72.32699868938401,0.03286384976525822,0.13829730928025305,0.7010305061423613,103.17239842726082,41.290113101358294,58.89916735374328,4.069010451401883
